smiles,base_material,dielectric_constant,tg_celsius,density_g_cm3,thickness_nm,applied_voltage,temp_c
c1ccccc1C(F)(F)C(F)(F)C#N,PTFE,2.0951828901770604,114.68889355501743,2.172409123677107,3203.803349392832,92.00949081815509,300
COCCCCCC(F)(F)F,PE,2.1802411156356243,-118.50457521533272,0.8839044718971963,1565.7519426075248,296.3116302623963,300
ClC(F)(F)C(F)(F)OC,PTFE,2.05161223258446,114.6777357356059,2.1888712079423622,4491.912916432286,145.55101509934516,25
FC(F)(F)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)OC(F)(F)F,Polycarbonate,2.878881373346524,145.85875010696589,1.1757255571168008,3959.69686199238,325.2898297677297,200
ClCC(Cl)CC(Cl)C#N,PVC,3.5397908164693304,84.17471426603674,1.351871823202209,3985.964453719295,121.29466639027167,300
FC(F)(F)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)OCl,Polycarbonate,2.887760348944546,149.05485933597868,1.2252662950031359,523.6065795952958,398.9023414901627,200
NC(=O)c1ccc(cc1)C(=O)OCCOOC,PET,3.374772336308058,71.17688417154768,1.4112149506065002,2668.9706162484276,24.912533169538378,300
ClCC(c1ccccc1)CC(c1ccccc1)C#N,Polystyrene,2.4097603278532187,104.71949175025985,1.025310697517496,2694.652678372093,202.7866892878053,100
CCC(C)CC(C)C(F)(F)F,PP,2.236530187390705,-11.083542760845692,0.9251530739116827,1106.1043688020686,413.0593232696172,25
ClCC(C)(C(=O)OC)CC(C)(C(=O)OC)C(F)(F)F,PMMA,2.9281594783548845,103.77617086021954,1.2237063946595585,2517.31862662484,70.20055661739201,300
COCC(Cl)CC(Cl)Cl,PVC,3.428230977489804,80.772834970613,1.3677556755508467,4902.281260898917,267.93283213060107,100
c1ccccc1CC(C)(C(=O)OC)CC(C)(C(=O)OC)Cl,PMMA,3.080345893519767,105.72023233475353,1.160466966214776,817.1134396102823,278.6247069345207,100
c1ccccc1C(F)(F)C(F)(F)OC,PTFE,2.0318105499861194,112.36601435737458,2.1846908242973244,4623.898298155196,335.093110196305,300
CCCC(=O)c1ccc(cc1)C(=O)OCCOCCC,PET,3.276829979435894,72.94798813346473,1.3591587104109362,3120.816970993502,212.32484171063578,25
