Material_Type,Temperature_C,Thickness_um,Dielectric_Constant,Dissipation_Factor,Theoretical_Breakdown_Strength_MVm
Polymer_Blend,243.4629433266592,7.526044122844205,4.952141859289382,0.002869526690833483,111.56041129327515
Nanocomposite,230.0925828833668,6.680246456795991,3.0841349884860323,0.022061067208927716,188.36793356877737
Alloy,209.13736748424594,12.165790096497224,6.147197013064521,0.00409068354280537,67.27488971692182
Alloy,111.30763819656327,11.689553748062707,2.9008738347937655,0.03966805361335269,99.43923991171629
Polymer_Blend,107.35748324048316,13.767924005889224,9.471899348100937,0.026948591588768524,173.10103683319895
Polymer_Blend,225.63993512586552,7.141337840429989,3.468637018841168,0.0024229003503289477,125.97752370957699
Polymer_Blend,173.44837868075473,9.334333863082975,4.022126879609313,0.0029845336376140563,178.05396585170513
Nanocomposite,222.19100265623814,13.599991615447568,5.253092215079763,0.031020757957234493,118.49847600648971
Alloy,146.93774059828291,14.920024817119998,5.065315748473006,0.04049947906526184,108.46908262955424
Alloy,159.64747874845193,14.600826710749613,8.357303139183113,0.022452177032463907,78.28080173069306
Polymer_Blend,205.02800815178978,11.331970326493543,5.650534564407699,0.028174452905245596,73.88548398607405
Nanocomposite,237.299010539814,3.861958251532335,3.366146080026695,0.04019164324844518,195.5795824796829
Nanocomposite,113.16422117183289,2.3014181533093456,4.137679163888593,0.03091480252804914,286.7158642056578
Polymer_Blend,229.22172169519095,12.727838633238244,6.072907081500176,0.012013251645282153,101.1395648071623
Polymer_Blend,218.95190873190478,12.93224631839373,3.179631339409079,0.031039549267604452,138.004159414475
Polymer_Blend,147.3308906094782,11.702691807425104,6.893245405168113,0.031785693494195466,82.0741813035313
Polymer_Blend,153.28249211973394,5.639005317989861,6.525978452409167,0.03697124206317521,279.691311343879
Alloy,106.96922158328644,10.317632174780847,7.717618531058061,0.03142283519028326,171.01240296755202
Polymer_Blend,102.3610916675077,6.111229743598565,9.50163692303494,0.048492864392443866,243.48911897424915
Polymer_Blend,171.55091895365936,7.858427199312021,9.298036488809245,0.010667127127136355,79.23423381091878
Alloy,114.33094682459658,6.9716561047466366,9.56860494455065,0.04760344329878674,133.26932189292853
Polymer_Blend,129.10027216228195,13.877321128270722,3.9577247761896075,0.0273786350271508,103.61425863080163
Polymer_Blend,227.01507992899954,5.044045299670382,3.052522453114837,0.033925850884250694,135.23112293857258
Polymer_Blend,185.65425868756788,9.508941759458754,4.418213603971588,0.005873618275157303,91.4562094668066
Polymer_Blend,195.044865589917,6.692759877440169,9.160681382130516,0.019648221127527246,213.76832701649818
Alloy,128.121899624788,10.619924454884934,9.776427796987907,0.03869957817669546,112.7502110329949
Polymer_Blend,224.29927066816293,9.339320835307173,8.874599608563809,0.03563863973985053,198.14142990241518
Alloy,230.19696586596214,14.011709857757227,2.880141769020349,0.002966830020105099,99.22157169570247
Alloy,178.4991390569565,3.3209579721157714,9.579423984478346,0.027783118911364986,124.99814060802363
Polymer_Blend,236.88366578179898,4.868330916837924,5.386864218806288,0.005325631455452063,204.23235842112135
Alloy,226.72429374318725,11.962523529803725,2.0744823260988294,0.04979696502972995,102.29158578133719
Polymer_Blend,209.6986265011657,6.794228918632964,5.539149925985549,0.04496753283813144,123.91160014070047
Polymer_Blend,210.1113873540443,4.155189220973411,2.3685533574037407,0.002032952360998311,116.29227041889735
Nanocomposite,115.8090210926295,8.54317637019004,6.35102336928894,0.043073829366228916,195.81157869887923
Nanocomposite,140.62540565434986,10.47784680094802,4.7084322194964106,0.046052050427361976,99.51889532875839
Nanocomposite,110.02708297265141,2.5827472839954817,5.78747946875239,0.0183238629056093,322.33691612257365
Polymer_Blend,101.3021813839463,5.791084561776781,6.905362885944936,0.03625558109734053,182.82088302535675
Polymer_Blend,123.74642970758651,12.522492990048558,8.950408766542562,0.022663083564181168,95.09154590928212
Alloy,232.073077397041,8.763179365932526,7.295212611775429,0.03310639174424086,92.97398462700805
Polymer_Blend,135.98110885540774,2.4599297972531597,5.4723909478254456,0.017675552810611384,407.5582250830474
Polymer_Blend,245.52309438875827,5.665363068571111,8.555422829362922,0.01680540259503015,211.50620708202146
Polymer_Blend,189.59364993418092,10.308828527732478,9.244657100585059,0.021797260554021376,101.10702984808873
Polymer_Blend,135.58877314520356,4.591673104514322,2.9580797314575777,0.008132820173972558,136.98664419725696
Nanocomposite,174.5696205226319,12.756088280852387,6.255463820422332,0.04172580925733375,81.49329618056312
